Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
TechnologyOne,https://www.technologyonecorp.com,https://www.technologyonecorp.com/careers,Australia,Brisbane,GovTech,Enterprise SaaS ERP,Mid-market,1001-5000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Python, Java, SQL, Azure, REST APIs",Australia,workforceguardai,None,High,Leading Australian ERP vendor with deep government and university client base; active 482 visa sponsor; workforceguardai analytics aligns with their workforce management modules.,AI Research Batch 005,Yes,Unknown
Datacom,https://www.datacom.com,https://www.datacom.com/au/en/careers,Australia,Sydney,GovTech,IT Services & Managed Services,Mid-market,5001-10000,Government Supplier,Hybrid,Yes,Unknown,AU/NZ,Data Engineer / AI Engineer / Backend Engineer,"Python, Azure, AWS, SQL, DevOps",AU/NZ,workforceguardai,None,High,Trans-Tasman IT services giant with significant government contracts across Australia and NZ; established 482 sponsor; strong demand for data and AI engineers.,AI Research Batch 005,Yes,Unknown
Civica Australia,https://www.civica.com,https://www.civica.com/en-au/careers,Australia,Melbourne,GovTech,Government Software,Mid-market,1001-5000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Java, Spring Boot, SQL, REST APIs, Azure",Australia,workforceguardai,None,High,UK-headquartered GovTech vendor with major Australian local and state government contracts; established visa sponsor; Spring Boot stack matches candidate directly.,AI Research Batch 005,Yes,Unknown
Leidos Australia,https://www.leidos.com/au,https://www.leidos.com/au/careers,Australia,Canberra,GovTech,Defence & Intelligence IT,Mid-market,1001-5000,Defence Contractor,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, AWS, data pipelines, ML",Australia,workforceguardai,None,High,US-listed defence and government technology company with large Australian presence; ASD and Defence supplier; active 482 sponsor; strong AI and data engineering demand.,AI Research Batch 005,Yes,Unknown
DXC Technology Australia,https://www.dxc.com,https://careers.dxc.com,Australia,Sydney,GovTech,IT Services,Mid-market,10000+,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / Backend Engineer,"Java, Python, AWS, Azure, SQL",Australia,workforceguardai,None,Medium,Global IT services firm with significant AU government contracts including Service NSW and federal agencies; active 482 visa sponsor.,AI Research Batch 005,No,Unknown
Thales Australia,https://www.thalesgroup.com/en/countries/pacific/australia,https://www.thalesgroup.com/en/global/jobs,Australia,Sydney,GovTech,Defence & Secure Systems,Mid-market,1001-5000,Defence Contractor,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer / Backend Engineer,"Python, Java, C++, data analytics, ML",Australia,workforceguardai,None,Medium,French defence giant with major AU operations; Defence and intelligence supplier; growing AI/data analytics practice for government clients.,AI Research Batch 005,No,Unknown
Aurecon,https://www.aurecongroup.com,https://www.aurecongroup.com/careers,Australia,Melbourne,Smart Cities,Engineering Consultancy,Mid-market,5001-10000,Government Supplier,Hybrid,Yes,Unknown,AU/NZ,Data Engineer / AI Engineer,"Python, GIS, geospatial analytics, AWS, Azure",AU/NZ,aequitas,None,High,Tier-1 engineering consultancy with smart cities and transport analytics practice; active AU visa sponsor; aequitas transport analytics project is a direct capability match.,AI Research Batch 005,Yes,Unknown
Jacobs Engineering Australia,https://www.jacobs.com,https://careers.jacobs.com,Australia,Brisbane,Smart Cities,Infrastructure Consultancy,Mid-market,5001-10000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer,"Python, GIS, geospatial, data pipelines, Azure",Australia,aequitas,None,High,Global engineering firm with major AU transport and smart cities projects; active visa sponsor; direct match to candidate's aequitas transport analytics portfolio.,AI Research Batch 005,Yes,Unknown
WSP Australia,https://www.wsp.com/en-au,https://www.wsp.com/en-au/careers,Australia,Sydney,Smart Cities,Infrastructure & Transport,Mid-market,5001-10000,Government Supplier,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer,"Python, geospatial, GCP, data pipelines, SQL",Australia,aequitas,None,High,Global engineering consultancy with strong AU transport and urban analytics practice; established visa sponsor; aequitas geospatial transport work aligns directly.,AI Research Batch 005,Yes,Unknown
Nearmap,https://www.nearmap.com,https://www.nearmap.com/au/en/careers,Australia,Sydney,Geospatial,Aerial Imagery & Location Intelligence,Scaleup,501-1000,Tech Company,Hybrid,Yes,Unknown,Australia,Data Engineer / AI Engineer,"Python, ML, geospatial, AWS, PostgreSQL, PostGIS",Australia,aequitas,None,High,ASX-listed aerial imagery and geospatial analytics company; direct match to candidate's geospatial analytics skills and aequitas transport project; growing AI practice.,AI Research Batch 005,Yes,Unknown
