Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
GitLab,https://www.gitlab.com,https://about.gitlab.com/jobs/,USA,Remote,Developer Tools,DevSecOps Platform,Scaleup,2001-5000,Remote-first,Yes,Unknown,Yes,Global,"Data Engineer / AI Engineer / Backend Engineer","Python, Go, Ruby, Kafka, GCP, PostgreSQL",Global,masova-platform,None,High,"Fully distributed company with documented EOR program; hires globally including India; strong fit for platform engineering and data roles.",AI Research Batch 004,Yes,Unknown
Automattic,https://www.automattic.com,https://automattic.com/work-with-us/,USA,Remote,Enterprise SaaS,CMS & Publishing,Scaleup,1001-2000,Remote-first,Yes,Unknown,Yes,Global,"Data Engineer / Backend Engineer / Platform Engineer","Python, PHP, JavaScript, MySQL, AWS",Global,masova-platform,None,High,"100% distributed since founding; uses EOR for global hires; known engineering culture open to India-based engineers.",AI Research Batch 004,Yes,Unknown
Zapier,https://www.zapier.com,https://zapier.com/jobs,USA,Remote,Enterprise SaaS,Workflow Automation,Scaleup,501-1000,Remote-first,Yes,Unknown,Yes,Global,"Data Engineer / Backend Engineer / AI Engineer","Python, Node.js, AWS, PostgreSQL, Kafka",Global,masova-platform,None,High,"Remote-first company; uses EOR to hire globally; workflow automation platform with strong data/AI engineering needs.",AI Research Batch 004,Yes,Unknown
Doist,https://www.doist.com,https://doist.com/jobs,Portugal,Remote,Enterprise SaaS,Productivity Tools,Startup,51-200,Remote-first,Yes,Unknown,Yes,Global,"Backend Engineer / Data Engineer","Python, Kotlin, TypeScript, PostgreSQL",Global,masova-platform,None,Medium,"Fully async remote company; uses EOR globally; engineers hired from anywhere in world.",AI Research Batch 004,Yes,Unknown
Buffer,https://www.buffer.com,https://buffer.com/journey,USA,Remote,Enterprise SaaS,Social Media Tools,Startup,51-200,Remote-first,Yes,Unknown,Yes,Global,"Data Engineer / Backend Engineer","Python, Ruby, Node.js, AWS, PostgreSQL",Global,masova-platform,None,Medium,"Transparent remote-first company; uses Deel EOR; widely cited as model for global distributed hiring.",AI Research Batch 004,Yes,Unknown
Remote.com,https://www.remote.com,https://remote.com/careers,Netherlands,Remote,Enterprise SaaS,Global HR / EOR,Scaleup,501-1000,Remote-first,Yes,Unknown,Yes,Global,"Data Engineer / AI Engineer / Backend Engineer","Python, Elixir, PostgreSQL, GCP, Kafka",Global,masova-platform,None,High,"EOR platform itself; remote-first by definition; hiring engineers globally including India; strong data platform needs.",AI Research Batch 004,Yes,Unknown
Deel,https://www.deel.com,https://www.deel.com/careers,USA,Remote,Enterprise SaaS,Global HR / EOR,Scaleup,1001-2000,Remote-first,Yes,Unknown,Yes,Global,"Data Engineer / AI Engineer / Backend Engineer","Python, Node.js, PostgreSQL, GCP, Kafka",Global,masova-platform,None,High,"EOR platform; fully remote workforce; hires engineers in India; data infrastructure team uses Python/Kafka stack matching candidate.",AI Research Batch 004,Yes,Unknown
Oyster HR,https://www.oysterhr.com,https://www.oysterhr.com/careers,USA,Remote,Enterprise SaaS,Global HR / EOR,Startup,201-500,Remote-first,Yes,Unknown,Yes,Global,"Data Engineer / Backend Engineer","Python, Node.js, PostgreSQL, AWS",Global,masova-platform,None,High,"EOR platform built remote-first; hires globally; data engineering roles open regularly.",AI Research Batch 004,Yes,Unknown
Weights & Biases,https://www.wandb.ai,https://wandb.ai/site/company/careers,USA,San Francisco,AI Infrastructure,MLOps & Experiment Tracking,Scaleup,201-500,Remote-first,Yes,Unknown,Unknown,Global,"ML Engineer / Data Engineer / AI Infrastructure Engineer","Python, PyTorch, TensorFlow, GCP, Azure, Kafka",Global,eu-ai-assurance-os,None,High,"Leading MLOps platform; remote-friendly engineering team; Python/GCP stack aligns with candidate; model monitoring maps to eu-ai-assurance-os.",AI Research Batch 004,Yes,Unknown
Comet ML,https://www.comet.com,https://www.comet.com/site/about/careers/,USA,Remote,AI Infrastructure,MLOps & Experiment Tracking,Startup,51-200,Remote-first,Yes,Unknown,Unknown,Global,"ML Engineer / Data Engineer / AI Engineer","Python, PyTorch, FastAPI, AWS, PostgreSQL",Global,eu-ai-assurance-os,None,High,"MLOps experiment tracking; distributed team; Python/FastAPI stack matches candidate's tooling; model governance links to eu-ai-assurance-os.",AI Research Batch 004,Yes,Unknown
