Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Together AI,https://www.together.ai,https://www.together.ai/careers,USA,San Francisco CA,AI Infrastructure,LLM Inference Platform,Scaleup,51-200,YC,Remote,Yes,Unknown,USA,ML Engineer / Backend Engineer / Platform Engineer,"Python, FastAPI, CUDA, Kubernetes, Ray, GCP",USA,eu-ai-assurance-os,None,High,Together AI is a YC-backed LLM inference and fine-tuning platform; strong H1B track record as YC alumni; hires internationally; Python/FastAPI stack aligns directly; AI infra theme matches eu-ai-assurance-os.,AI Research Batch 007,Yes,Unknown
Anyscale,https://www.anyscale.com,https://www.anyscale.com/careers,USA,San Francisco CA,AI Infrastructure,Distributed ML Platform,Scaleup,201-500,Startup,Remote,Yes,Unknown,USA,Platform Engineer / Data Engineer / ML Engineer,"Python, Ray, Kubernetes, GCP, AWS, FastAPI",USA,eu-ai-assurance-os,None,High,Anyscale builds the Ray distributed computing platform powering ML workloads at scale; Series C funded; strong H1B sponsor history; Python/GCP stack match; AI infra directly aligned.,AI Research Batch 007,Yes,Unknown
Modal Labs,https://modal.com,https://modal.com/careers,USA,New York NY,AI Infrastructure,Serverless GPU Compute,Startup,11-50,Startup,Remote,Yes,Unknown,USA,Backend Engineer / Infrastructure Engineer,"Python, Kubernetes, gVisor, GCP",USA,eu-ai-assurance-os,None,High,Modal Labs is a NYC-based serverless GPU compute platform; YC W21 alumni; strong H1B track record; Python-first platform; AI infra theme; actively hiring engineers.,AI Research Batch 007,Yes,Unknown
Baseten,https://www.baseten.co,https://www.baseten.co/careers,USA,San Francisco CA,AI Infrastructure,Model Deployment Platform,Startup,51-200,YC,Remote,Yes,Unknown,USA,ML Infrastructure Engineer / Backend Engineer,"Python, FastAPI, Kubernetes, AWS, Terraform",USA,eu-ai-assurance-os,None,High,Baseten is a YC-backed model inference and deployment platform; FastAPI and Python stack exact match; Series B funded; YC H1B sponsorship track record; AI infra theme.,AI Research Batch 007,Yes,Unknown
Replicate,https://replicate.com,https://replicate.com/careers,USA,San Francisco CA,AI Infrastructure,ML Model Hosting,Startup,51-200,YC,Remote,Yes,Unknown,USA,Backend Engineer / ML Infrastructure Engineer,"Python, Go, Kubernetes, GCP, Cog",USA,eu-ai-assurance-os,None,High,Replicate is a YC-backed platform for running ML models via API; Series B funded; YC alumni H1B track record; Python and GCP stack aligns; AI infra matches candidate differentiators.,AI Research Batch 007,Yes,Unknown
Helicone,https://www.helicone.ai,https://www.helicone.ai/careers,USA,San Francisco CA,AI Infrastructure,LLM Observability,Startup,1-10,YC,Remote,Yes,Unknown,USA,Full-Stack Engineer / Backend Engineer,"Python, TypeScript, Clickhouse, FastAPI, GCP",USA,eu-ai-assurance-os,None,High,Helicone is a YC W23 LLM observability and prompt management platform; YC alumni H1B sponsorship history; FastAPI and Python exact stack match; LLM tooling directly relevant.,AI Research Batch 007,Yes,Unknown
Braintrust,https://www.braintrustdata.com,https://www.braintrustdata.com/careers,USA,San Francisco CA,AI Infrastructure,LLM Evaluation Platform,Startup,11-50,YC,Remote,Yes,Unknown,USA,Backend Engineer / ML Engineer,"Python, TypeScript, PostgreSQL, FastAPI, AWS",USA,eu-ai-assurance-os,None,High,Braintrust is a YC-backed LLM evaluation and logging platform; Series A funded; YC H1B track record; Python/FastAPI stack aligns; AI governance and eval theme matches eu-ai-assurance-os.,AI Research Batch 007,Yes,Unknown
Portkey AI,https://portkey.ai,https://portkey.ai/careers,USA,San Francisco CA,AI Infrastructure,LLM Gateway,Startup,11-50,YC,Remote,Yes,Unknown,USA,Backend Engineer / Platform Engineer,"Python, Node.js, FastAPI, Redis, Kubernetes",USA,eu-ai-assurance-os,None,Medium,Portkey AI is a YC-backed LLM gateway and observability layer; YC alumni H1B sponsorship track record; Python/FastAPI stack aligns; LLM tooling and AI governance theme relevant.,AI Research Batch 007,Yes,Unknown
Vectara,https://vectara.com,https://vectara.com/careers,USA,Palo Alto CA,AI Infrastructure,RAG Platform,Startup,51-200,Startup,Remote,Yes,Unknown,USA,ML Engineer / Data Engineer / Backend Engineer,"Python, Java, Kubernetes, GCP, FAISS",USA,bharat-alpha,None,High,Vectara is a Palo Alto RAG-as-a-service platform; Series A funded with strong H1B history; Java and Python stack match; FAISS/vector DB infra directly relevant to bharat-alpha RAG portfolio.,AI Research Batch 007,Yes,Unknown
Zilliz,https://zilliz.com,https://zilliz.com/careers,USA,Redwood City CA,AI Infrastructure,Vector Database,Scaleup,201-500,Startup,Remote,Yes,Unknown,USA,Data Engineer / ML Engineer / Backend Engineer,"Python, Go, C++, Kubernetes, Milvus, GCP",USA,bharat-alpha,None,High,Zilliz is the company behind Milvus open-source vector database; US HQ in Redwood City; Series B funded; strong H1B sponsorship history; vector DB infra directly aligns with bharat-alpha RAG work.,AI Research Batch 007,Yes,Unknown
Turbopuffer,https://turbopuffer.com,https://turbopuffer.com/careers,USA,San Francisco CA,AI Infrastructure,Vector Search Engine,Startup,1-10,YC,Remote,Yes,Unknown,USA,Backend Engineer / Infrastructure Engineer,"Rust, Python, S3, GCP, Kubernetes",USA,bharat-alpha,None,Medium,Turbopuffer is a YC-backed vector search engine optimized for object storage; YC H1B track record; highly relevant to bharat-alpha RAG infra work; seed stage but fast-growing.,AI Research Batch 007,Yes,Unknown
