Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Passenger Technology Group,https://www.passenger.tech,https://www.passenger.tech/careers,UK,Bristol,Transport Analytics,Public Transit Apps & GTFS,Scaleup,51-200,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer / Geospatial Analyst","Python, GTFS, PostGIS, REST APIs, geospatial",EU,aequitas,None,High,"UK bus/rail app platform built entirely on GTFS data and public transit feeds; candidate's aequitas GTFS pipeline and 1.75M-trip analytics is a direct portfolio match.",AI Research Batch 003,Yes,Unknown
Omnibus Systems,https://www.omnibus.co.uk,https://www.omnibus.co.uk/careers,UK,Birmingham,Transport Analytics,Bus Network Planning Software,Scaleup,51-200,Transport Tech,Hybrid,Unknown,Unknown,UK,"Data Engineer / Geospatial Analyst","GTFS, GIS, Python, SQL, transport modelling",EU,aequitas,None,High,"UK market leader in bus network planning and scheduling software used by DfT and local authorities; GTFS and route optimisation directly matches aequitas route analytics.",AI Research Batch 003,Yes,Unknown
Ticketer,https://www.ticketer.co.uk,https://www.ticketer.co.uk/careers,UK,Bristol,Transport Analytics,Smart Ticketing & GTFS,Scaleup,51-200,Transport Tech,Hybrid,Unknown,Unknown,UK,"Data Engineer / Backend Engineer","GTFS, Python, Azure, data pipelines, REST APIs",EU,aequitas,None,High,"UK bus ticketing platform generating real-time AVLS and GTFS-RT feeds used across DfT-funded operators; data engineering role matches aequitas real-time feed processing.",AI Research Batch 003,Yes,Unknown
Trafi,https://www.trafi.com,https://www.trafi.com/careers,Lithuania,Vilnius,Transport Analytics,MaaS / Urban Transit Intelligence,Scaleup,51-200,Transport Tech,Remote,Yes,Unknown,EU,"Data Engineer / AI Engineer / Backend Engineer","Python, GTFS, Kotlin, GCP, geospatial APIs",EU,aequitas,None,High,"European MaaS platform aggregating GTFS across 20+ cities including Berlin and Warsaw; geospatial and GTFS stack is near-identical to aequitas architecture.",AI Research Batch 003,Yes,Unknown
Optibus,https://www.optibus.com,https://www.optibus.com/careers,Israel,Tel Aviv (EU offices Amsterdam),Transport Analytics,Transit Scheduling & Optimisation,Scaleup,201-500,Transport Tech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, GTFS, ML optimisation, cloud data pipelines, PostgreSQL",EU,aequitas,None,High,"AI-driven transit scheduling platform with strong EU presence; GTFS optimisation engine maps directly to aequitas route-level equity analytics.",AI Research Batch 003,Yes,Unknown
Remix (Via Transportation),https://www.remix.com,https://www.remix.com/careers,USA,San Francisco (EU remote),Transport Analytics,Urban Transit Planning,Scaleup,201-500,Transport Tech,Remote,Yes,Unknown,EU,"Data Engineer / Geospatial Analyst","GTFS, Python, PostGIS, GeoJSON, React, urban analytics",EU,aequitas,None,High,"Urban transit planning platform (acquired by Via) used by 400+ cities; GTFS network analysis and equity layers match aequitas DfT policy dashboard work.",AI Research Batch 003,Yes,Unknown
KONUX,https://www.konux.com,https://www.konux.com/careers,Germany,Munich,Industrial AI,Predictive Railway Maintenance,Scaleup,51-200,Industrial AI,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, IoT, time-series, ML, GCP, Spark",EU,aequitas,German (Learning),High,"IIoT and AI platform for railway switch maintenance used by DB and Network Rail; transport infrastructure data engineering maps to aequitas network analytics.",AI Research Batch 003,Yes,Unknown
Plan A,https://plana.earth,https://plana.earth/careers,Germany,Berlin,ClimateTech,Corporate Carbon Management,Scaleup,51-200,ClimateTech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, GCP, REST APIs, data pipelines",EU,aequitas,German (Learning),High,"Berlin-based carbon accounting SaaS platform with dbt-heavy data stack; candidate's dbt and GCP experience is a direct technical match.",AI Research Batch 003,Yes,Unknown
Normative,https://normative.io,https://normative.io/careers,Sweden,Stockholm,ClimateTech,Carbon Accounting Platform,Startup,11-50,ClimateTech,Remote,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, Snowflake, REST APIs, data modelling",EU,aequitas,None,High,"Stockholm-based Scope 3 carbon accounting startup with data-heavy platform; dbt and Python stack matches candidate's data engineering background.",AI Research Batch 003,Yes,Unknown
Greenly,https://greenly.earth,https://greenly.earth/jobs,France,Paris,ClimateTech,SME Carbon Footprint Platform,Scaleup,201-500,ClimateTech,Hybrid,Yes,Unknown,EU,"Data Engineer / AI Engineer","Python, dbt, GCP, PostgreSQL, REST APIs",EU,aequitas,Unknown,High,"Paris-based carbon management platform for SMEs with rapid EU expansion; data platform built on dbt and GCP matches candidate's core stack.",AI Research Batch 003,Yes,Unknown
