Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Thought Machine,https://www.thoughtmachine.net,https://www.thoughtmachine.net/careers,UK,London,FinTech,Core Banking Platform,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Kafka, Kubernetes, Go, Python, event-driven architecture",EU,masova-platform,None,High,"Cloud-native core banking with event-driven microservices; candidate's Spring Boot microservices and Kafka experience maps directly.",AI Research Batch 002,Yes,Unknown
Form3,https://www.form3.tech,https://www.form3.tech/careers,UK,London,FinTech,Payments Infrastructure,Scaleup,201-500,FinTech,Remote,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Go, Kafka, AWS, event-driven, microservices",EU,masova-platform,None,High,"Cloud-native payment processing platform built on event-driven microservices; strong match with candidate's Kafka and microservices portfolio.",AI Research Batch 002,Yes,Unknown
GoCardless,https://gocardless.com,https://gocardless.com/careers,UK,London,FinTech,Open Banking / Payments,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, PostgreSQL, dbt, data pipelines",EU,"bharat-alpha,masova-platform",None,High,"Global bank debit network with data engineering team using dbt and Kafka; financial data pipeline work matches bharat-alpha and masova-platform themes.",AI Research Batch 002,Yes,Unknown
Yapily,https://www.yapily.com,https://www.yapily.com/careers,UK,London,FinTech,Open Banking API,Scaleup,51-200,FinTech,Hybrid,Yes,Unknown,EU,Backend Engineer / Data Engineer,"Java, Spring Boot, Kafka, REST APIs, open banking",EU,"bharat-alpha,masova-platform",None,High,"Open banking API infrastructure built on Java/Spring Boot with financial data pipelines; direct match with candidate's Spring Boot microservices and financial data work.",AI Research Batch 002,Yes,Unknown
TrueLayer,https://truelayer.com,https://truelayer.com/careers,UK,London,FinTech,Open Banking API,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, AWS, open banking APIs, data pipelines",EU,"bharat-alpha,masova-platform",None,High,"Leading open banking API provider across Europe; financial data pipeline work and API infrastructure match bharat-alpha and masova-platform themes.",AI Research Batch 002,Yes,Unknown
Salt Edge,https://www.saltedge.com,https://www.saltedge.com/careers,Romania,Bucharest,FinTech,Open Banking / Financial Data,Scaleup,201-500,FinTech,Hybrid,Unknown,Unknown,EU,Data Engineer / Backend Engineer,"Ruby, Python, REST APIs, financial data aggregation",EU,bharat-alpha,None,Medium,"Open banking data aggregation platform covering 5000+ banks; financial data infrastructure focus matches bharat-alpha project theme.",AI Research Batch 002,Yes,Unknown
Mambu,https://www.mambu.com,https://www.mambu.com/careers,Germany,Berlin,FinTech,Cloud Banking Platform,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Java, Spring Boot, Kafka, AWS, microservices",EU,masova-platform,German (Learning),High,"SaaS cloud banking platform using Java microservices and event-driven architecture; strong overlap with candidate's Spring Boot multi-tenant platform experience.",AI Research Batch 002,Yes,Unknown
Raisin,https://www.raisin.com,https://www.raisin.com/careers,Germany,Berlin,FinTech,Savings & Investments Platform,Scaleup,501-1000,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer,"Python, Spark, dbt, AWS, data pipelines",EU,"bharat-alpha,workforceguardai",German (Learning),High,"Pan-European savings marketplace with significant data engineering; dbt and Spark usage matches workforceguardai and bharat-alpha portfolio themes.",AI Research Batch 002,Yes,Unknown
Billie,https://www.billie.io,https://www.billie.io/careers,Germany,Berlin,FinTech,B2B BNPL / Embedded Finance,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, PostgreSQL, dbt, Spark",EU,"workforceguardai,masova-platform",German (Learning),High,"B2B payments and embedded finance scaleup using Kafka and dbt; both data platform and event-driven microservices aspects match candidate's portfolio.",AI Research Batch 002,Yes,Unknown
Moss,https://www.getmoss.com,https://www.getmoss.com/careers,Germany,Berlin,FinTech,Corporate Spend Management,Scaleup,201-500,FinTech,Hybrid,Yes,Unknown,EU,Data Engineer / Backend Engineer,"Python, Kafka, dbt, PostgreSQL, microservices",EU,"workforceguardai,masova-platform",German (Learning),High,"Corporate card and spend management platform with data analytics; dbt and Kafka architecture matches workforceguardai and masova-platform.",AI Research Batch 002,Yes,Unknown
