Company,Website,Careers_URL,Country,City,Sector,Subsector,Company_Stage,Company_Scale,Employer_Category,Remote,Visa_Sponsorship,EOR,Hiring_Geography,Target_Roles,Tech_Stack,Region_Eligibility,Portfolio_Theme_Match,Language_Requirement,Hiring_Confidence,Reason_Match,Source,Cold_Outreach_Candidate,Visa_Sponsor_Register
Holistic AI,https://www.holisticai.com,https://www.holisticai.com/careers,UK,London,AI Governance,AI Risk & Compliance,Scaleup,51-200,AI Governance,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, FastAPI, ML, LLM, RAG",EU,eu-ai-assurance-os,None,High,Direct EU AI Act compliance platform; candidate's eu-ai-assurance-os project maps directly to their AI auditing and governance tooling.,AI Research Batch 001,Yes,Unknown
Credo AI,https://www.credo.ai,https://www.credo.ai/careers,UK,London,AI Governance,AI Governance Platform,Scaleup,51-200,AI Governance,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, FastAPI, REST APIs, ML",EU,eu-ai-assurance-os,None,High,AI governance and policy compliance platform; candidate's EU AI Act compliance portfolio project is a direct skill match.,AI Research Batch 001,Yes,Unknown
Fairly AI,https://www.fairly.ai,https://www.fairly.ai/careers,UK,London,AI Governance,AI Fairness & Audit,Startup,11-50,AI Governance,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML pipelines, REST APIs",EU,eu-ai-assurance-os,None,Medium,AI bias auditing and fairness monitoring startup; aligns with candidate's EU AI Act compliance and model governance work.,AI Research Batch 001,Yes,Unknown
Parity AI,https://www.getparity.ai,https://www.getparity.ai/careers,UK,London,AI Governance,Pay Equity & Bias,Startup,11-50,AI Governance,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, analytics",EU,"eu-ai-assurance-os,workforceguardai",None,Medium,Pay equity and AI bias platform; candidate's workforceguardai and eu-ai-assurance-os projects are directly relevant to their dual focus.,AI Research Batch 001,Yes,Unknown
Monitaur,https://www.monitaur.ai,https://www.monitaur.ai/careers,UK,London,AI Governance,AI Model Governance,Startup,11-50,AI Governance,Remote,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, model monitoring, APIs",EU,eu-ai-assurance-os,None,Medium,ML governance and audit trail platform for regulated industries; aligns with candidate's EU AI Act compliance work.,AI Research Batch 001,Yes,Unknown
Lumeus,https://www.lumeus.ai,https://lumeus.ai/careers,Germany,Berlin,AI Governance,AI Compliance Automation,Startup,11-50,AI Governance,Hybrid,Unknown,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, LLM, FastAPI, GCP",EU,eu-ai-assurance-os,German (Learning),Low,Berlin-based AI compliance automation startup relevant to EU AI Act; candidate's compliance platform background directly applicable.,AI Research Batch 001,Yes,Unknown
Alethea,https://www.alethea.ai,https://www.alethea.ai/careers,UK,London,AI Governance,AI Risk & Disinformation,Startup,11-50,AI Governance,Hybrid,Unknown,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, NLP, ML, data pipelines",EU,eu-ai-assurance-os,None,Medium,AI risk monitoring focused on detecting disinformation; candidate's AI governance platform skills applicable to pipeline and backend work.,AI Research Batch 001,Yes,Unknown
Robust Intelligence,https://www.robustintelligence.com,https://www.robustintelligence.com/careers,UK,London,AI Governance,AI Security & Testing,Scaleup,51-200,AI Governance,Hybrid,Yes,Unknown,Global,Data Engineer / AI Engineer / Backend Engineer,"Python, ML, LLM testing, APIs",EU,eu-ai-assurance-os,None,Medium,AI model security and stress-testing platform; candidate's EU AI Act auditing portfolio maps well to their compliance testing focus.,AI Research Batch 001,Yes,Unknown
Apiax,https://www.apiax.com,https://www.apiax.com/careers,Switzerland,Zurich,RegTech,Regulatory Compliance Automation,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, REST APIs, legal data, NLP",EU,eu-ai-assurance-os,None,High,Digital regulatory rules engine; candidate's compliance platform experience and backend engineering skills directly match their data/API-heavy stack.,AI Research Batch 001,Yes,Unknown
Suade Labs,https://suade.org,https://suade.org/careers,UK,London,RegTech,Regulatory Reporting,Scaleup,51-200,RegTech,Hybrid,Yes,Unknown,EU,Data Engineer / AI Engineer / Backend Engineer,"Python, data pipelines, REST APIs, PostgreSQL",EU,eu-ai-assurance-os,None,High,Regulatory reporting automation for financial services; candidate's data engineering and compliance tooling background is directly applicable.,AI Research Batch 001,Yes,Unknown
